j,age,sex,log_household,Constant
"Pickles, nfs",-0.004048571856008242,-0.10752239142480624,-0.1133836094691078,2.802279246212068
"Pineapple, raw",-0.0024982826065251718,-0.06865267695697064,-0.05129725137968833,4.203679224476354
"Pork bacon, ns as to fresh, smoked or cured, cooked",-0.00021489094508946296,-0.20784909191262058,-0.020281143442409628,2.9394443647687507
"Potato chips, plain",0.00024973903776287,-0.14188707857373634,-0.040020023367945724,3.236764838716689
"Potato, french fries, fast food",0.0013687522515442752,-0.23332279790865362,-0.04972082430153578,4.402013223803634
Ranch dressing,-0.0009990048614619419,-0.16976643165916672,-0.19536452162013473,3.290365435975356
"Salsa, nfs",0.0030378721918516804,-0.22120992074269785,0.13061439640745096,3.9470649304524823
"Soft drink, cola",0.00287792331723224,-0.1879911284910557,-0.1688257426401012,5.896320526779146
"Soft drink, cola, diet",0.003120542518394551,-0.21176016837363587,-0.05816250005071212,6.097978431762257
"Soft drink, fruit flavored, caffeine free",0.003752287358919902,-0.21870946317017248,-0.017369184307331902,5.801313591456842
"Sour cream, regular",-0.0014075235470008194,-0.07419251783471964,0.07962761154175002,3.641619616397999
"Strawberries, raw",-0.0011155648238733865,0.011045512850536676,-0.05913295737590858,4.212456399449382
"Sugar, white, granulated or lump",-0.004279069123754367,-0.23654910673828122,-0.045914542600212084,2.254188265821971
"Tea, hot, leaf, black",0.0020364713022413333,0.05328517413843059,-0.12414193514678533,5.8004062494950945
"Tomatoes, for use on a sandwich",-0.0005857938123575608,-0.18058786101276425,-0.00706685284283599,3.086421225459326
"Tomatoes, raw",0.004676077173920129,-0.10242030461845042,-0.07394853089988716,3.9367192337413406
"Tortilla chips, plain",-0.0006685959479329838,-0.25145138205076195,-0.12361384175668809,3.40280017085574
"Water, bottled, plain",0.004437286279999625,-0.08214061248942506,-0.04746929272165985,6.696075743863658
"Water, carbonated, flavored",0.004487455538329678,-0.08823656697848303,-0.0765570476923297,6.009779967934237
"Water, tap",0.0013571874790377608,0.01679057089905056,-0.14080157829226156,6.688788823552806
"Watermelon, raw",-0.001693200188535809,-0.23386888010788,0.07032849509789682,5.002590191399447
"Wine, red",-0.007084096226899908,-0.17835752814411876,-0.07973434837531952,5.364475335190079
